Something To Say\https://raw.githubusercontent.com/shiabehugo/48otw/master/data/Joe_Cocker/Something_To_Say.dat\https://images-na.ssl-images-amazon.com/images/I/61tZ8QO%2BZ6L._SX355_.jpg
Gold Greatest Hits\https://raw.githubusercontent.com/shiabehugo/48otw/master/data/Joe_Cocker/Gold_Greatest_Hits.dat\https://images-na.ssl-images-amazon.com/images/I/81pc6EO4jHL._SX355_.jpg
