Queen\A Kind Of Magic
One Vision\Queen/(1986) A Kind of Magic/01 Queen - One Vision.mp3
A Kind Of Magic\Queen/(1986) A Kind of Magic/02 Queen - A Kind of Magic.mp3
One Year Of Love\Queen/(1986) A Kind of Magic/03 Queen - One Year of Love.mp3
Pain Is So Close To Pleasure\Queen/(1986) A Kind of Magic/04 Queen - Pain Is So Close to Pleasure.mp3
Friends Will Be Friends\Queen/(1986) A Kind of Magic/05 Queen - Friends Will Be Friends.mp3
Who Wants To Live Forever\Queen/(1986) A Kind of Magic/06 Queen - Who Wants to Live Forever.mp3
Gimme The Prize\Queen/(1986) A Kind of Magic/07 Queen - Gimme the Prize.mp3
Don't Lose Your Head\Queen/(1986) A Kind of Magic/08 Queen - Don_t Lose Your Head.mp3
Princes Of The Universe\Queen/(1986) A Kind of Magic/09 Queen - Princes of the Universe.mp3
