Queen\The Works
Radio Ga Ga\Queen/(1984) The Works/01 Queen - Radio Ga Ga.mp3
Tear It Up\Queen/(1984) The Works/02 Queen - Tear It Up.mp3
It's A Hard Life\Queen/(1984) The Works/03 Queen - It_s a Hard Life.mp3
Man On The Prowl\Queen/(1984) The Works/04 Queen - Man On The Prowl.mp3
Machines (Or Back To Humans)\Queen/(1984) The Works/05 Queen - Machines (Or _Back to Humans_).mp3
I Want To Break Free\Queen/(1984) The Works/06 Queen - I Want to Break Free.mp3
Keep Passing The Open Windows\Queen/(1984) The Works/07 Queen - Keep Passing The Open Windows.mp3
Hammer To Fall\Queen/(1984) The Works/08 Queen - Hammer to Fall.mp3
Is This The World We Created...?\Queen/(1984) The Works/09 Queen - Is This the World We Created...¿.mp3
