Chinese Democracy\https://raw.githubusercontent.com/shiabehugo/48otw/master/Guns_N_Roses/Chinese_Democracy.dat\http://upload.wikimedia.org/wikipedia/en/thumb/1/1f/GNRchinesedemocracy.jpg/220px-GNRchinesedemocracy.jpg
Greatest Hits\https://raw.githubusercontent.com/shiabehugo/48otw/master/Guns_N_Roses/Greatest_Hits.dat\http://upload.wikimedia.org/wikipedia/en/thumb/3/36/GreatestHits_Guns%27n%27Roses.jpg/220px-GreatestHits_Guns%27n%27Roses.jpg
