My Chemical Romance\The Black Parade [Explicit]
The End.  \https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfTHR6MXhDS0RHQ0E
Dead!  [EXPLICIT]\https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfYjJKNE1kdDBOQzA
This Is How I Disappear  \https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfc0N1TjZxb25Lamc
The Sharpest Lives \https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfdEdHcldZdzJmNk0
Welcome To The Black Parade  \https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfajhhWWhEYmJ5R1U
I Don't Love You  \https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfdEYwVzZSOU5nRUk
House Of Wolves  [EXPLICIT]\https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfOFA0czdvVzUzWGs
Cancer  \https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfWlh1UnFyWmw1Wk0
Mama  [EXPLICIT]\https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfS2NFaGZZRElMZDQ
Sleep  \https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfY3V6RW9jTVI1N1k
Teenagers  \https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfYnd2Y1d0T0JVZ2c
Disenchanted  \https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfaGJlLWd6YmxRU1U
Famous Last Words  \https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfaEhzU1pudmhIYTg
Blood (Hidden Track) [Explicit]\https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfUmVid1lsZFBMV3M
