Knife Party\Haunted House
Power Glove\http://mmmmm.000webhostapp.com/Haunted_House/Power_Glove.mp3
Lrad\http://mmmmm.000webhostapp.com/Haunted_House/LRAD.mp3
EDM Death Machine\http://mmmmm.000webhostapp.com/Haunted_House/EDM_Death_Machine.mp3
Internet Friends VIP\http://mmmmm.000webhostapp.com/Haunted_House/Internet_Friends_VIP.mp3
