1\Power Glove\http://mmmmm.000webhostapp.com/Haunted_House/Power_Glove.mp3
2\Lrad\http://mmmmm.000webhostapp.com/Haunted_House/LRAD.mp3
3\EDM Death Machine\http://mmmmm.000webhostapp.com/Haunted_House/EDM_Death_Machine.mp3
4\Internet Friends VIP\http://mmmmm.000webhostapp.com/Haunted_House/Internet_Friends_VIP.mp3
