David Bowie\Let's Dance
Modern Love\David_Bowie/1983  Let_s Dance/01_01_01. Modern Love.mp3
China Girl\David_Bowie/1983  Let_s Dance/02_02_02. China Girl.mp3
Let's Dance\David_Bowie/1983  Let_s Dance/03_03_03. Let_s Dance.mp3
Without You\David_Bowie/1983  Let_s Dance/04_04_04. Without You.mp3
Ricochet\David_Bowie/1983  Let_s Dance/05_05_05. Ricochet.mp3
Criminal World\David_Bowie/1983  Let_s Dance/06_06_06. Criminal World.mp3
Cat People\David_Bowie/1983  Let_s Dance/07_07_07. Cat People.mp3
Shake It\David_Bowie/1983  Let_s Dance/08_08_08. Shake It.mp3
